What is your age group?,"What is your current year of study?
","How well do you understand what mental health means?
",What do you think mental health is related to?,"Do you think mental health is as important as physical health?
","Do you think anyone can experience mental-health difficulties?
","Do you know where a student can get help if they are facing emotional or mental difficulties?
","If you are feeling emotionally upset or stressed, would you talk to someone?
","Who would you feel comfortable talking to when you have a problem?
","What makes it difficult for students to talk about their mental health?
","Do you think students need more mental-health awareness in college/school?
",How often do you feel overwhelmed by your daily responsibilities?,"How often do you feel emotionally tired?
","How supported do you feel by the people around you?
","What usually helps you when you are having a difficult day?
","How much academic pressure do you usually feel?
","How many hours do you usually sleep per night?
","Approximately how much screen time do you have per day?
","How often do you participate in physical activity or exercise?
","In your own words, what does good mental health mean to you?
","What do you wish parents or teachers understood better about students' mental health?
","What do you think students need to improve mental-health awareness?
"
22-24,Third Year,5,Not sure,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;Don't know whom to talk to,Yes,5,5,5,Talking to someone;Listening to music;Hobbies;Exercise,5,5–6 hours,2–4 hours,Rarely,,,
19-21,Second Year,4,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family,Fear of being judged;Feeling shy or uncomfortable;Don't know whom to talk to,Yes,5,4,4,Talking to someone;Listening to music;Hobbies;Exercise,5,6–7 hours,4–6 hours,3–4 days a week,,,
17 - 18,First Year,4,Emotions;Thoughts and feelings;Relationships with others,Not sure,Not sure,Not sure,Maybe,Parents/Family,Family may not understand;Nothing makes it difficult,Not sure,4,4,4,Talking to someone;Listening to music;Hobbies,4,5–6 hours,4–6 hours,Never,,,
19-21,Second Year,3,Emotions,Not sure,Not sure,Not sure,Maybe,Friend,Don't know whom to talk to;I don't think it is important;Nothing makes it difficult,Not sure,3,4,4,Listening to music;Hobbies,4,5–6 hours,4–6 hours,Never,,,
22-24,Third Year,5,Emotions;Thoughts and feelings;How we handle problems;Relationships with others;Not sure,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable,Yes,4,5,5,Taking a break;Listening to music;Hobbies;Rest/sleep,5,6–7 hours,4–6 hours,Never,,,
19-21,Second Year,4,Relationships with others,Yes,Not sure,Not sure,Maybe,Parents/Family;Friend,Don't know whom to talk to;I don't think it is important;Nothing makes it difficult,Not sure,4,4,4,Spending time with friends/family,5,6–7 hours,6–8 hours,Never,,,
22-24,Other,5,Emotions;Thoughts and feelings;How we handle problems;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;Don't know whom to talk to,Yes,5,5,5,Talking to someone;Taking a break;Listening to music;Hobbies;Exercise;Rest/sleep,5,5–6 hours,4–6 hours,Never,,,
19-21,Third Year,5,Emotions;Thoughts and feelings,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable;Nothing makes it difficult,Yes,5,5,5,Taking a break;Listening to music;Hobbies;Rest/sleep;Spending time with friends/family,5,6–7 hours,4–6 hours,Never,,,
22-24,Other,5,Emotions;Thoughts and feelings;How we handle problems;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand,Yes,5,5,5,Taking a break;Listening to music;Hobbies;Exercise;Rest/sleep;Spending time with friends/family,5,7–8 hours,4–6 hours,Never,,,
19-21,Second Year,5,Emotions;Thoughts and feelings;How we handle problems;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Feeling shy or uncomfortable,Yes,5,5,5,Taking a break;Listening to music;Spending time with friends/family,5,5–6 hours,4–6 hours,Never,,,
19-21,Second Year,5,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand,Yes,5,5,4,Spending time with friends/family,5,6–7 hours,2–4 hours,Never,,,
22-24,Other,5,Emotions,Yes,Yes,Yes,Yes,Friend,Fear of being judged;Family may not understand,Yes,4,4,4,Rest/sleep;Spending time with friends/family,4,6–7 hours,2–4 hours,Never,,,
19-21,Second Year,4,Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand,Yes,5,5,5,Taking a break;Spending time with friends/family,5,6–7 hours,4–6 hours,Never,,,
22-24,Other,5,Relationships with others,Yes,Yes,Yes,Yes,Parents/Family,Family may not understand,Yes,5,5,5,Taking a break;Listening to music;Spending time with friends/family,5,6–7 hours,2–4 hours,Rarely,,,
19-21,Third Year,5,Relationships with others,Yes,Yes,Yes,Yes,Friend,Fear of being judged;Family may not understand,Yes,5,5,5,Taking a break;Rest/sleep;Spending time with friends/family,5,6–7 hours,4–6 hours,Never,,,
22-24,Other,5,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,Yes,Yes,Friend,Family may not understand;Feeling shy or uncomfortable,Yes,5,5,5,Rest/sleep;Spending time with friends/family,5,5–6 hours,2–4 hours,Never,,,
22-24,Other,5,Relationships with others;Not sure,Yes,Yes,Yes,Yes,Parents/Family,Family may not understand;Feeling shy or uncomfortable,Yes,5,5,5,Talking to someone;Taking a break;Listening to music;Hobbies;Exercise;Spending time with friends/family,5,6–7 hours,2–4 hours,Never,,,
19-21,Third Year,5,Thoughts and feelings,Yes,Yes,Yes,Yes,Friend,Fear of being judged;Family may not understand,Yes,5,5,5,Rest/sleep;Spending time with friends/family,5,6–7 hours,2–4 hours,Never,,,
22-24,Other,5,Thoughts and feelings;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand,Yes,5,5,3,Hobbies;Spending time with friends/family,2,5–6 hours,4–6 hours,Never,,,
19-21,Third Year,3,Not sure,Not sure,Not sure,Not sure,Maybe,Parents/Family;Friend,Don't know whom to talk to;I don't think it is important;Nothing makes it difficult,Not sure,4,4,3,Spending time with friends/family,5,6–7 hours,4–6 hours,Never,,,
